LYLTY_CARD_NBR,TOT_SALES,PURCHASE_FREQUENCY,CLUSTER
3046,31.4,3,0
3047,17.1,3,2
3048,46.0,5,0
3049,30.200000000000003,4,0
3050,26.6,3,0
3051,22.7,3,0
3052,38.2,4,0
3053,16.0,2,2
3054,63.0,7,1
3055,62.099999999999994,8,1
3056,63.800000000000004,7,1
3057,31.6,4,0
3058,43.400000000000006,5,0
3059,16.0,2,2
3060,55.8,6,1
3061,52.4,6,1
3062,34.6,4,0
3063,28.8,3,0
3064,20.200000000000003,2,2
3065,34.2,4,0
3066,45.0,5,0
3067,20.4,3,2
3068,49.6,6,1
3069,45.8,5,0
3070,33.8,4,0
3071,27.0,3,0
3072,35.6,4,0
3073,35.6,4,0
3074,16.4,2,2
3075,31.799999999999997,3,0
3076,16.4,2,2
3077,47.8,6,0
3078,61.8,8,1
3079,50.2,6,1
3080,28.0,3,0
3081,46.4,6,0
3082,27.599999999999998,3,0
3083,7.2,1,2
3084,7.4,1,2
3085,52.0,6,1
3086,42.400000000000006,5,0
3087,14.0,2,2
3088,74.0,8,1
3089,28.700000000000003,4,0
3090,25.799999999999997,3,0
3091,41.6,5,0
3092,42.2,5,0
3093,45.199999999999996,6,0
3094,7.6,1,2
3095,50.2,6,1
3096,36.2,4,0
3097,39.199999999999996,5,0
3098,7.4,1,2
3099,8.8,1,2
3100,18.200000000000003,2,2
3101,79.6,9,1
3102,12.600000000000001,2,2
3103,33.7,4,0
3104,38.6,4,0
3105,31.5,4,0
3106,32.6,4,0
3107,14.0,2,2
3108,39.4,4,0
3109,11.4,1,2
3110,45.2,5,0
3111,10.8,1,2
3112,11.8,1,2
3113,17.6,2,2
3114,43.8,5,0
3115,7.8,1,2
3116,28.6,3,0
3117,32.05,4,0
3118,18.7,3,2
3119,30.0,4,0
3120,35.0,5,0
3121,27.0,3,0
3122,6.6,1,2
3123,70.39999999999999,8,1
3124,20.200000000000003,2,2
3125,43.2,5,0
3126,37.6,4,0
3127,67.0,8,1
3128,36.1,5,0
3129,67.6,7,1
3130,23.4,3,0
3131,38.6,4,0
3132,37.199999999999996,4,0
3133,34.4,4,0
3134,35.0,4,0
3135,22.4,3,0
3136,10.2,1,2
3137,41.6,5,0
3138,30.0,4,0
3139,12.2,2,2
3140,30.8,4,0
3141,68.5,8,1
3142,28.4,3,0
3143,29.8,3,0
3144,57.8,7,1
3145,16.6,2,2
3146,56.8,6,1
3147,55.3,6,1
3148,22.799999999999997,3,0
3149,34.1,5,0
3150,12.5,2,2
3151,18.1,3,2
3152,47.0,5,0
3153,116.4,13,1
3154,26.0,3,0
3155,16.4,2,2
3156,49.1,6,0
3157,25.4,3,0
3158,52.599999999999994,6,1
3159,27.0,3,0
3160,34.0,4,0
3161,34.9,5,0
3162,53.4,6,1
3163,25.6,3,0
3164,52.0,5,0
3165,33.6,3,0
3166,44.8,5,0
3167,49.4,6,0
3168,16.0,2,2
3169,25.4,3,0
3170,46.0,5,0
3171,27.2,4,0
3172,68.3,9,1
3173,16.0,2,2
3174,42.0,5,0
3175,67.4,8,1
3176,23.0,3,0
3177,23.2,3,0
3178,8.4,1,2
3179,38.0,4,0
3180,38.6,5,0
3181,43.0,4,0
3182,55.4,6,1
3183,54.2,6,1
3184,38.0,5,0
3185,51.0,6,1
3186,39.4,4,0
3187,22.0,3,0
3188,50.4,7,1
3189,18.6,3,2
3190,32.4,5,0
3191,73.6,9,1
3192,7.6,1,2
3193,30.0,3,0
3194,63.0,7,1
3195,8.8,1,2
3196,46.2,5,0
3197,39.0,5,0
3198,66.0,8,1
3199,18.0,2,2
3201,49.0,6,0
3202,48.4,6,0
3203,19.4,2,2
3204,24.0,3,0
3205,55.6,7,1
3206,78.5,10,1
3207,21.6,2,2
3208,64.3,8,1
3209,37.4,4,0
3210,39.4,4,0
3211,43.4,5,0
3212,44.800000000000004,7,1
3213,78.8,9,1
3214,33.0,3,0
3215,49.0,6,0
3216,31.3,4,0
3217,61.400000000000006,6,1
3218,64.2,8,1
3219,33.6,4,0
3220,13.8,2,2
3221,21.9,3,0
3222,47.9,6,0
3223,53.8,6,1
3224,44.6,6,0
3225,18.0,2,2
3226,68.4,7,1
3227,60.4,7,1
3228,66.4,7,1
3229,14.2,2,2
3230,35.8,4,0
3231,20.6,2,2
3232,52.6,6,1
3233,55.6,6,1
3234,27.8,4,0
3235,58.7,7,1
3236,60.800000000000004,7,1
3237,34.800000000000004,4,0
3238,19.1,3,2
3239,62.3,8,1
3240,66.0,7,1
3241,55.6,6,1
3242,27.4,3,0
3243,28.4,3,0
3244,57.0,7,1
3245,20.4,2,2
3246,51.0,6,1
3247,34.0,3,0
3248,61.4,7,1
3249,29.6,3,0
3250,31.2,4,0
3251,10.8,1,2
3252,27.0,3,0
3253,15.600000000000001,2,2
3254,61.3,7,1
3255,33.8,4,0
3256,39.4,4,0
3257,38.4,4,0
3258,56.0,6,1
3259,29.9,4,0
3260,25.0,3,0
3261,26.8,4,0
3262,65.2,7,1
3263,20.0,2,2
3264,56.4,6,1
3265,86.8,9,1
3266,21.900000000000002,3,0
3267,55.6,5,0
3268,30.799999999999997,4,0
3269,34.6,4,0
3270,38.599999999999994,4,0
3271,11.600000000000001,2,2
3272,4.4,1,2
3273,33.8,4,0
3274,7.6,1,2
3275,30.599999999999998,4,0
3276,34.0,4,0
3277,18.0,2,2
3278,16.6,2,2
3279,27.0,3,0
3280,38.2,5,0
3282,33.8,4,0
3283,32.8,4,0
3284,8.8,1,2
3285,9.2,1,2
3286,28.0,3,0
3287,47.8,6,0
3288,15.0,2,2
3289,72.8,9,1
3290,35.4,5,0
3291,60.2,9,1
3292,8.8,1,2
3293,41.4,5,0
3294,18.0,2,2
3295,40.2,5,0
3296,55.0,7,1
3297,16.0,2,2
3298,8.4,1,2
3299,27.200000000000003,3,0
3300,53.2,6,1
3301,6.6,1,2
3302,17.799999999999997,2,2
3303,36.4,5,0
3304,45.800000000000004,5,0
3305,8.8,1,2
3306,34.8,4,0
3307,23.900000000000002,3,0
3308,74.4,8,1
3309,20.0,2,2
3310,22.8,2,2
3311,24.4,3,0
3312,41.6,5,0
3313,19.4,2,2
3314,55.400000000000006,7,1
3315,35.8,4,0
3316,23.2,3,0
3317,25.4,3,0
3318,8.4,1,2
3319,28.0,3,0
3320,17.6,2,2
3322,36.8,4,0
3323,30.4,4,0
3324,43.0,5,0
3325,46.0,5,0
3326,34.8,4,0
3327,28.200000000000003,3,0
3328,28.8,3,0
3329,5.7,1,2
3330,22.6,3,0
3331,20.200000000000003,2,2
3332,30.2,4,0
3333,35.0,4,0
3334,7.4,1,2
3335,41.6,4,0
3336,10.8,1,2
3337,32.0,3,0
3338,41.2,5,0
3339,64.6,8,1
3340,28.8,4,0
3341,47.6,6,0
3342,77.4,9,1
3343,8.4,1,2
3344,45.8,5,0
3345,14.2,2,2
3346,7.4,1,2
3347,31.4,4,0
3348,67.6,8,1
3349,27.400000000000002,4,0
3350,33.4,4,0
3351,24.6,3,0
3352,29.4,3,0
3353,60.2,8,1
3354,22.1,3,0
3355,31.6,4,0
3356,46.8,6,0
3357,31.6,4,0
3358,19.6,2,2
3359,34.4,4,0
3360,63.7,7,1
3361,22.6,2,2
3362,8.8,1,2
3363,7.4,1,2
3364,29.8,3,0
3365,7.6,1,2
3366,32.0,4,0
3367,41.2,5,0
4000,16.799999999999997,2,2
4001,57.2,7,1
4002,11.3,2,2
4003,35.0,4,0
4004,59.0,6,1
4005,58.6,6,1
4006,21.799999999999997,3,2
4007,80.8,9,1
4008,58.6,7,1
4009,30.8,3,0
4010,34.0,4,0
4011,35.8,4,0
4012,25.4,3,0
4013,50.0,5,0
4014,14.8,2,2
4015,29.5,4,0
4016,23.0,3,0
4017,28.8,4,0
4018,48.8,6,0
4019,19.6,2,2
4020,16.799999999999997,2,2
4021,36.400000000000006,5,0
4022,69.2,8,1
4023,25.200000000000003,3,0
4024,42.6,5,0
4025,9.2,1,2
4026,47.0,5,0
4027,38.4,5,0
4028,18.200000000000003,2,2
4029,44.8,5,0
4030,20.0,2,2
4031,47.8,5,0
4032,27.799999999999997,3,0
4033,31.9,4,0
4034,30.0,3,0
4035,34.400000000000006,4,0
4036,40.3,6,0
4037,46.6,5,0
4038,50.2,6,1
4039,46.8,6,0
4040,20.6,2,2
4041,57.0,6,1
4042,50.8,6,1
4043,54.2,7,1
4044,23.6,3,0
4045,9.2,1,2
4046,82.4,11,1
4047,18.0,2,2
4048,54.199999999999996,6,1
4049,61.8,7,1
4050,35.0,4,0
4051,38.2,4,0
4052,42.2,4,0
4053,42.2,5,0
4054,45.6,5,0
4055,35.4,4,0
4056,33.2,4,0
4057,26.0,3,0
4058,20.200000000000003,2,2
4059,45.8,5,0
4060,66.0,7,1
4061,56.0,6,1
4062,50.5,6,1
4063,45.2,5,0
4064,59.199999999999996,7,1
4065,28.2,3,0
4066,33.8,4,0
4067,49.2,6,0
4068,28.8,3,0
4069,9.2,1,2
4070,31.0,4,0
4071,64.4,7,1
4072,49.1,6,0
4073,49.6,6,1
4074,44.5,5,0
4075,94.2,10,1
4076,45.6,5,0
4077,45.0,5,0
4078,44.2,5,0
4079,23.6,3,0
4080,31.0,4,0
4081,56.3,7,1
4082,8.8,1,2
4083,26.0,3,0
4084,18.4,2,2
4085,57.400000000000006,6,1
4086,36.2,4,0
4087,75.8,9,1
4088,54.2,6,1
4089,41.0,4,0
4090,59.0,7,1
4091,55.8,6,1
4092,11.4,1,2
4093,45.0,5,0
4094,62.3,8,1
4095,36.4,4,0
4096,70.4,7,1
4097,26.6,3,0
4098,49.0,6,0
4099,50.6,6,1
4100,36.199999999999996,4,0
4101,15.4,2,2
4102,25.2,3,0
4103,51.0,6,1
4104,32.2,4,0
4105,25.0,3,0
4106,29.0,4,0
4107,10.8,1,2
4108,7.6,1,2
4109,11.4,1,2
4110,57.6,7,1
4111,23.8,2,2
4112,53.6,6,1
4113,39.0,5,0
4114,45.6,5,0
4115,44.8,5,0
4116,52.0,6,1
4117,58.4,6,1
4118,58.6,6,1
4119,45.4,5,0
4120,59.4,7,1
4121,35.0,4,0
4122,65.8,8,1
4123,51.4,6,1
4124,33.0,3,0
4125,33.0,4,0
4126,58.8,6,1
4127,26.599999999999998,3,0
4128,30.5,4,0
4129,47.2,5,0
4130,45.6,5,0
4131,28.2,3,0
4132,67.4,7,1
4133,24.2,3,0
4134,21.1,3,2
4135,38.0,5,0
4136,45.8,5,0
4137,28.8,3,0
4138,24.0,3,0
4139,66.0,7,1
4140,30.2,3,0
4141,17.4,2,2
4142,55.2,6,1
4143,8.8,1,2
4144,52.2,6,1
4145,52.0,5,0
4146,20.0,2,2
4147,46.4,5,0
4148,73.2,9,1
4149,32.5,4,0
4150,53.2,6,1
4151,52.2,6,1
4152,18.0,2,2
4153,46.199999999999996,6,0
4154,9.2,1,2
4155,48.2,6,0
4156,24.6,3,0
4157,68.4,7,1
4158,59.2,7,1
4159,10.65,2,2
4160,64.2,7,1
4161,24.0,3,0
4162,20.6,2,2
4163,64.8,7,1
4164,44.0,5,0
4165,10.8,1,2
4166,52.6,5,0
4167,28.599999999999998,3,0
4168,16.6,2,2
4169,60.2,7,1
4170,91.6,9,1
4171,17.4,2,2
4172,30.200000000000003,3,0
4173,52.5,7,1
4174,18.8,2,2
4175,18.200000000000003,2,2
4176,39.0,4,0
4177,60.7,8,1
4178,34.2,4,0
4179,33.400000000000006,4,0
4180,23.0,3,0
4181,7.4,1,2
4182,13.0,1,2
4183,48.8,5,0
4184,42.8,5,0
4185,22.8,3,0
4186,44.6,5,0
4187,19.6,2,2
4188,51.6,6,1
4189,66.0,8,1
4190,10.8,1,2
4191,43.8,5,0
4192,71.0,9,1
4193,36.2,4,0
4194,25.0,3,0
